Type	Name	2006 Score	2006 Count	2007 Score	2007 Count	2008 Score	2008 Count	2009 Score	2009 Count	2010 Score	2010 Count	2011 Score	2011 Count	2012 Score	2012 Count
College	Balliol	75.79	133	72.99	117	75	112	70.26	115	70.38	106	67.62	105	72.15	107
College	Brasenose	68.06	124	65.93	108	67	100	66.48	108	66.53	101	70.72	97	75.63	96
College	Christ Church	72.46	122	73.39	127	72.99	117	70.64	109	71.67	120	73.94	132	72.48	117
College	Corpus Christi	70.39	77	65.48	62	69.71	68	73.55	62	75.59	68	69.44	72	68.06	62
College	Exeter	65.68	81	65.27	110	67.74	93	69.39	98	65.68	88	70.89	90	71.26	103
College	Harris Manchester	59.39	33	53.64	22	66.15	26	59.23	26	60.95	21	60	22	67.14	28
College	Hertford	67.48	107	70	100	68.14	118	72.8	100	69.75	121	73.52	105	67.38	103
College	Jesus	67.11	90	68.28	87	70.64	109	69.68	95	70.11	95	71.79	95	69.13	92
College	Keble	65.16	128	66.92	130	68.91	101	70.58	121	65.65	124	67.93	116	72.24	116
College	Lady Margaret Hall	66.96	112	65.71	105	63.87	119	67.84	97	67.19	114	67.06	119	65.9	122
College	Lincoln	71.26	103	70.57	70	70.5	80	71.69	77	69.11	90	69.55	88	72.56	86
College	Magdalen	74.77	107	74.81	108	74.11	112	76.04	101	79.45	109	73.62	116	76	110
College	Mansfield	61.38	58	63.69	65	66.29	70	65.25	61	63.16	76	70	60	68.96	67
College	Merton	75.96	94	76.83	82	77.17	92	76.43	84	75	84	75.05	85	70.21	94
College	New	74.77	107	72.24	116	71.54	123	72.92	113	73.09	110	73.93	122	74.11	95
College	Oriel	61.41	85	63.17	82	68.86	88	67.37	76	69.87	79	65.58	86	71.03	78
College	Pembroke	65.95	121	69.47	114	66.13	111	67.75	111	68.18	110	69.8	98	65.83	103
College	Queen's	69.79	94	67.59	87	71.11	99	71.49	87	68.86	88	66.81	91	68.04	92
College	Somerville	67.86	117	66.27	102	65.63	96	68.82	102	66.41	103	66.25	112	66.43	112
College	St Anne's	66.67	120	68.25	114	69.24	119	68.5	127	67.9	124	68	110	67.23	130
College	St Catherine's	66.78	121	65.67	134	66.34	122	69.76	123	69.22	141	66.41	128	72.03	148
College	St Edmund Hall	68.52	115	68.28	116	67.85	107	65.44	103	66.42	106	66	110	66.02	113
College	St Hilda's	66.55	113	64.88	123	65.18	112	61.51	119	67.03	111	68	120	67.61	113
College	St Hugh's	65.81	124	65.25	99	70	110	67.79	113	67.89	109	66.92	104	68.24	119
College	St John's	72.68	112	71.64	110	75.96	104	76.51	109	73.69	111	70.64	109	72.65	117
College	St Peter's	63.4	106	66.35	104	67.48	107	67.06	102	65.83	96	65.86	99	66.67	102
College	Trinity	69.76	82	71.36	81	69.5	80	71.14	88	66.3	73	68.28	87	68.84	86
College	University	70.26	117	68.38	117	68.41	107	72.24	98	71.96	102	69.71	105	68.91	101
College	Wadham	72.42	124	66.81	135	68.43	140	71.5	120	69.68	124	72.32	125	72.65	117
College	Worcester	68.43	121	69.08	119	65.87	109	70.25	121	70.78	102	72.79	122	71.21	116
PPH	Blackfriars					60	5			60	3	55	4	60	2
PPH	Campion Hall	60	1							40	1				
PPH	Greyfriars	72.31	13	56.25	16	61.33	15								
PPH	Regent's Park	61.18	34	60	21	58.52	27	61.58	38	65.22	46	66.21	29	63.24	37
PPH	Ripon	70	4	51.43	7	46.67	3	63.64	11	73.33	6	62.22	9	56.36	11
PPH	St Benet's Hall	56.92	13	65.33	15	57.78	9	55	16	58.57	14	61.33	15	64.62	13
PPH	St Stephen's House	60	2	40	2	53.33	6	56.67	6	52	5	70	4	48	5
PPH	Wycliffe Hall	62.73	22	63.75	16	65.33	15	67.27	22	62.35	17	57.14	14	80	13

